model,dataset,dataset_display,features_csv,hidden_npz,meta_json,has_hidden
llama31_8b_it,trec6,trec6,/kaggle/working/features_normalized/llama31_8b_it__trec6__features.csv,/kaggle/working/features_normalized/llama31_8b_it__trec6__hidden.npz,/kaggle/working/features_normalized/llama31_8b_it__trec6__meta.json,True
mistral7b_v03,agnews,agnews,/kaggle/working/features_normalized/mistral7b_v03__agnews__features.csv,/kaggle/working/features_normalized/mistral7b_v03__agnews__hidden.npz,/kaggle/working/features_normalized/mistral7b_v03__agnews__meta.json,True
mistral7b_v03,arc_challenge,arc_challenge,/kaggle/working/features_normalized/mistral7b_v03__arc_challenge___features.csv,/kaggle/working/features_normalized/mistral7b_v03__arc_challenge___hidden.npz,,True
mistral7b_v03,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/mistral7b_v03__commonsenseqa___features.csv,/kaggle/working/features_normalized/mistral7b_v03__commonsenseqa___hidden.npz,,True
mistral7b_v03,dbpedia14,dbpedia14,/kaggle/working/features_normalized/mistral7b_v03__dbpedia14__features.csv,/kaggle/working/features_normalized/mistral7b_v03__dbpedia14__hidden.npz,/kaggle/working/features_normalized/mistral7b_v03__dbpedia14__meta.json,True
mistral7b_v03,hellaswag,hellaswag,/kaggle/working/features_normalized/mistral7b_v03__hellaswag___features.csv,/kaggle/working/features_normalized/mistral7b_v03__hellaswag___hidden.npz,,True
mistral7b_v03,mmlu_all,mmlu,/kaggle/working/features_normalized/mistral7b_v03__mmlu_all___features.csv,/kaggle/working/features_normalized/mistral7b_v03__mmlu_all__hidden_embeddings.npz,,True
mistral7b_v03,trec6,trec6,/kaggle/working/features_normalized/mistral7b_v03__trec6__features.csv,/kaggle/working/features_normalized/mistral7b_v03__trec6__hidden.npz,/kaggle/working/features_normalized/mistral7b_v03__trec6__meta.json,True
olmo2_7b_instruct,arc_challenge,arc_challenge,/kaggle/working/features_normalized/olmo2_7b_instruct__arc_challenge___features.csv,/kaggle/working/features_normalized/olmo2_7b_instruct__arc_challenge___hidden.npz,,True
olmo2_7b_instruct,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/olmo2_7b_instruct__commonsenseqa___features.csv,/kaggle/working/features_normalized/olmo2_7b_instruct__commonsenseqa___hidden.npz,,True
olmo2_7b_instruct,hellaswag,hellaswag,/kaggle/working/features_normalized/olmo2_7b_instruct__hellaswag___features.csv,/kaggle/working/features_normalized/olmo2_7b_instruct__hellaswag__hidden_embeddings.npz,,True
olmo2_7b_instruct,mmlu_all,mmlu,/kaggle/working/features_normalized/olmo2_7b_instruct__mmlu_all___features.csv,/kaggle/working/features_normalized/olmo2_7b_instruct__mmlu_all__hidden.npz,,True
qwen25_7b,agnews,agnews,/kaggle/working/features_normalized/qwen25_7b__agnews__features.csv,/kaggle/working/features_normalized/qwen25_7b__agnews__hidden.npz,/kaggle/working/features_normalized/qwen25_7b__agnews__meta.json,True
qwen25_7b,arc_challenge,arc_challenge,/kaggle/working/features_normalized/qwen25_7b__arc_challenge___features.csv,/kaggle/working/features_normalized/qwen25_7b__arc_challenge___hidden.npz,,True
qwen25_7b,banking77,banking77,/kaggle/working/features_normalized/qwen25_7b__banking77__features.csv,/kaggle/working/features_normalized/qwen25_7b__banking77__hidden.npz,/kaggle/working/features_normalized/qwen25_7b__banking77__meta.json,True
qwen25_7b,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/qwen25_7b__commonsenseqa___features.csv,/kaggle/working/features_normalized/qwen25_7b__commonsenseqa___hidden.npz,,True
qwen25_7b,dbpedia14,dbpedia14,/kaggle/working/features_normalized/qwen25_7b__dbpedia14__features.csv,/kaggle/working/features_normalized/qwen25_7b__dbpedia14__hidden.npz,/kaggle/working/features_normalized/qwen25_7b__dbpedia14__meta.json,True
qwen25_7b,hellaswag,hellaswag,/kaggle/working/features_normalized/qwen25_7b__hellaswag___features.csv,/kaggle/working/features_normalized/qwen25_7b__hellaswag___hidden.npz,,True
qwen25_7b,mmlu_all,mmlu,/kaggle/working/features_normalized/qwen25_7b__mmlu_all___features.csv,/kaggle/working/features_normalized/qwen25_7b__mmlu_all__hidden_embeddings.npz,,True
qwen25_7b,trec6,trec6,/kaggle/working/features_normalized/qwen25_7b__trec6__features.csv,/kaggle/working/features_normalized/qwen25_7b__trec6__hidden.npz,/kaggle/working/features_normalized/qwen25_7b__trec6__meta.json,True
